start,end,weight
S_4,S_202,1.0
S_4,S_218,1.0
S_4,S_224,1.0
S_4,S_228,1.0
S_4,S_240,1.0
S_4,S_264,1.0
S_4,S_320,1.0
S_4,S_330,1.0
S_4,S_515,1.0
S_4,S_524,1.0
S_4,S_526,1.0
S_4,S_699,1.0
S_5,S_7,1.0
S_5,S_12,1.0
S_5,S_17,1.0
S_5,S_25,1.0
S_5,S_27,1.0
S_5,S_31,1.0
S_5,S_37,1.0
S_5,S_39,1.0
S_5,S_50,1.0
S_5,S_75,1.0
S_5,S_91,1.0
S_5,S_101,1.0
S_5,S_108,1.0
S_5,S_112,1.0
S_5,S_116,1.0
S_5,S_122,1.0
S_5,S_131,1.0
S_5,S_202,1.0
S_5,S_205,1.0
S_5,S_213,1.0
S_5,S_214,1.0
S_5,S_221,1.0
S_5,S_231,1.0
S_5,S_260,1.0
S_5,S_296,1.0
S_5,S_716,1.0
S_6,S_9,1.0
S_6,S_29,1.0
S_6,S_36,1.0
S_6,S_65,1.0
S_6,S_68,1.0
S_6,S_77,1.0
S_6,S_80,1.0
S_6,S_95,1.0
S_6,S_105,1.0
S_6,S_109,1.0
S_6,S_111,1.0
S_6,S_118,1.0
S_6,S_143,1.0
S_6,S_158,1.0
S_6,S_159,1.0
S_6,S_168,1.0
S_6,S_179,1.0
S_6,S_189,1.0
S_6,S_190,1.0
S_6,S_193,1.0
S_6,S_200,1.0
S_6,S_203,1.0
S_6,S_210,1.0
S_6,S_215,1.0
S_6,S_225,1.0
S_6,S_241,1.0
S_6,S_247,1.0
S_6,S_258,1.0
S_6,S_271,1.0
S_6,S_283,1.0
S_6,S_292,1.0
S_6,S_302,1.0
S_6,S_303,1.0
S_6,S_704,1.0
S_7,S_2,1.0
S_7,S_5,1.0
S_7,S_11,1.0
S_7,S_12,1.0
S_7,S_17,1.0
S_7,S_24,1.0
S_7,S_27,1.0
S_7,S_31,1.0
S_7,S_32,1.0
S_7,S_39,1.0
S_7,S_40,1.0
S_7,S_42,1.0
S_7,S_50,1.0
S_7,S_57,1.0
S_7,S_62,1.0
S_7,S_71,1.0
S_7,S_75,1.0
S_7,S_83,1.0
S_7,S_91,1.0
S_7,S_92,1.0
S_7,S_97,1.0
S_7,S_101,1.0
S_7,S_108,1.0
S_7,S_112,1.0
S_7,S_116,1.0
S_7,S_122,1.0
S_7,S_146,1.0
S_7,S_166,1.0
S_7,S_202,1.0
S_7,S_205,1.0
S_7,S_214,1.0
S_7,S_221,1.0
S_7,S_231,1.0
S_7,S_264,1.0
S_7,S_296,1.0
S_7,S_306,1.0
S_7,S_526,1.0
S_7,S_528,1.0
S_7,S_716,1.0
S_8,S_10,1.0
S_8,S_14,1.0
S_8,S_26,1.0
S_8,S_46,1.0
S_8,S_51,1.0
S_8,S_58,1.0
S_8,S_74,1.0
S_8,S_76,1.0
S_8,S_78,1.0
S_8,S_107,1.0
S_8,S_115,1.0
S_8,S_120,1.0
S_8,S_124,1.0
S_8,S_150,1.0
S_8,S_151,1.0
S_8,S_160,1.0
S_8,S_162,1.0
S_8,S_167,1.0
S_8,S_184,1.0
S_8,S_188,1.0
S_8,S_192,1.0
S_8,S_198,1.0
S_8,S_219,1.0
S_8,S_233,1.0
S_8,S_237,1.0
S_8,S_245,1.0
S_8,S_249,1.0
S_8,S_255,1.0
S_8,S_259,1.0
S_8,S_261,1.0
S_8,S_272,1.0
S_8,S_274,1.0
S_8,S_290,1.0
S_8,S_308,1.0
S_8,S_496,1.0
S_8,S_503,1.0
S_8,S_685,1.0
S_8,S_702,1.0
S_8,S_703,1.0
S_8,S_705,1.0
S_9,S_6,1.0
S_9,S_29,1.0
S_9,S_63,1.0
S_9,S_65,1.0
S_9,S_68,1.0
S_9,S_77,1.0
S_9,S_80,1.0
S_9,S_90,1.0
S_9,S_105,1.0
S_9,S_109,1.0
S_9,S_111,1.0
S_9,S_118,1.0
S_9,S_133,1.0
S_9,S_143,1.0
S_9,S_158,1.0
S_9,S_159,1.0
S_9,S_168,1.0
S_9,S_179,1.0
S_9,S_187,1.0
S_9,S_189,1.0
S_9,S_193,1.0
S_9,S_200,1.0
S_9,S_203,1.0
S_9,S_210,1.0
S_9,S_236,1.0
S_9,S_241,1.0
S_9,S_247,1.0
S_9,S_257,1.0
S_9,S_271,1.0
S_9,S_283,1.0
S_9,S_328,1.0
S_9,S_677,1.0
S_9,S_704,1.0
S_10,S_8,1.0
S_10,S_14,1.0
S_10,S_46,1.0
S_10,S_51,1.0
S_10,S_58,1.0
S_10,S_60,1.0
S_10,S_74,1.0
S_10,S_76,1.0
S_10,S_78,1.0
S_10,S_81,1.0
S_10,S_107,1.0
S_10,S_120,1.0
S_10,S_124,1.0
S_10,S_129,1.0
S_10,S_138,1.0
S_10,S_149,1.0
S_10,S_150,1.0
S_10,S_151,1.0
S_10,S_160,1.0
S_10,S_162,1.0
S_10,S_167,1.0
S_10,S_173,1.0
S_10,S_184,1.0
S_10,S_188,1.0
S_10,S_219,1.0
S_10,S_233,1.0
S_10,S_239,1.0
S_10,S_249,1.0
S_10,S_290,1.0
S_10,S_503,1.0
S_10,S_685,1.0
S_10,S_702,1.0
S_10,S_705,1.0
S_11,S_2,1.0
S_11,S_3,1.0
S_11,S_7,1.0
S_11,S_23,1.0
S_11,S_24,1.0
S_11,S_31,1.0
S_11,S_40,1.0
S_11,S_42,1.0
S_11,S_45,1.0
S_11,S_57,1.0
S_11,S_62,1.0
S_11,S_64,1.0
S_11,S_71,1.0
S_11,S_83,1.0
S_11,S_92,1.0
S_11,S_93,1.0
S_11,S_102,1.0
S_11,S_105,1.0
S_11,S_119,1.0
S_11,S_130,1.0
S_11,S_133,1.0
S_11,S_146,1.0
S_11,S_148,1.0
S_11,S_165,1.0
S_11,S_172,1.0
S_11,S_187,1.0
S_11,S_193,1.0
S_11,S_200,1.0
S_11,S_202,1.0
S_11,S_214,1.0
S_11,S_222,1.0
S_11,S_256,1.0
S_11,S_264,1.0
S_11,S_282,1.0
S_11,S_306,1.0
S_11,S_328,1.0
S_11,S_515,1.0
S_11,S_524,1.0
S_11,S_526,1.0
S_11,S_528,1.0
S_11,S_620,1.0
S_11,S_675,1.0
S_11,S_709,1.0
S_11,S_715,1.0
S_12,S_2,1.0
S_12,S_4,1.0
S_12,S_5,1.0
S_12,S_7,1.0
S_12,S_17,1.0
S_12,S_25,1.0
S_12,S_27,1.0
S_12,S_28,1.0
S_12,S_31,1.0
S_12,S_32,1.0
S_12,S_37,1.0
S_12,S_39,1.0
S_12,S_47,1.0
S_12,S_50,1.0
S_12,S_59,1.0
S_12,S_62,1.0
S_12,S_69,1.0
S_12,S_83,1.0
S_12,S_91,1.0
S_12,S_108,1.0
S_12,S_112,1.0
S_12,S_116,1.0
S_12,S_122,1.0
S_12,S_131,1.0
S_12,S_144,1.0
S_12,S_175,1.0
S_12,S_202,1.0
S_12,S_213,1.0
S_12,S_260,1.0
S_12,S_264,1.0
S_12,S_296,1.0
S_12,S_307,1.0
S_12,S_526,1.0
S_12,S_699,1.0
S_12,S_716,1.0
S_13,S_16,1.0
S_13,S_20,1.0
S_13,S_38,1.0
S_13,S_47,1.0
S_13,S_54,1.0
S_13,S_56,1.0
S_13,S_59,1.0
S_13,S_60,1.0
S_13,S_69,1.0
S_13,S_73,1.0
S_13,S_78,1.0
S_13,S_81,1.0
S_13,S_98,1.0
S_13,S_99,1.0
S_13,S_103,1.0
S_13,S_123,1.0
S_13,S_125,1.0
S_13,S_127,1.0
S_13,S_136,1.0
S_13,S_137,1.0
S_13,S_144,1.0
S_13,S_152,1.0
S_13,S_163,1.0
S_13,S_170,1.0
S_13,S_174,1.0
S_13,S_181,1.0
S_13,S_185,1.0
S_13,S_197,1.0
S_13,S_199,1.0
S_13,S_211,1.0
S_13,S_230,1.0
S_13,S_244,1.0
S_13,S_272,1.0
S_13,S_275,1.0
S_13,S_330,1.0
S_13,S_499,1.0
S_13,S_500,1.0
S_13,S_520,1.0
S_13,S_664,1.0
S_13,S_702,1.0
S_14,S_8,1.0
S_14,S_10,1.0
S_14,S_20,1.0
S_14,S_38,1.0
S_14,S_46,1.0
S_14,S_51,1.0
S_14,S_58,1.0
S_14,S_60,1.0
S_14,S_74,1.0
S_14,S_76,1.0
S_14,S_78,1.0
S_14,S_81,1.0
S_14,S_85,1.0
S_14,S_98,1.0
S_14,S_124,1.0
S_14,S_127,1.0
S_14,S_129,1.0
S_14,S_138,1.0
S_14,S_151,1.0
S_14,S_152,1.0
S_14,S_160,1.0
S_14,S_162,1.0
S_14,S_167,1.0
S_14,S_173,1.0
S_14,S_188,1.0
S_14,S_219,1.0
S_14,S_230,1.0
S_14,S_233,1.0
S_14,S_244,1.0
S_14,S_249,1.0
S_14,S_272,1.0
S_14,S_274,1.0
S_14,S_290,1.0
S_14,S_482,1.0
S_14,S_499,1.0
S_14,S_500,1.0
S_14,S_503,1.0
S_14,S_520,1.0
S_14,S_690,1.0
S_14,S_702,1.0
S_14,S_705,1.0
S_15,S_1,1.0
S_15,S_16,1.0
S_15,S_18,1.0
S_15,S_20,1.0
S_15,S_30,1.0
S_15,S_33,1.0
S_15,S_43,1.0
S_15,S_48,1.0
S_15,S_73,1.0
S_15,S_79,1.0
S_15,S_85,1.0
S_15,S_86,1.0
S_15,S_94,1.0
S_15,S_100,1.0
S_15,S_106,1.0
S_15,S_117,1.0
S_15,S_123,1.0
S_15,S_125,1.0
S_15,S_126,1.0
S_15,S_152,1.0
S_15,S_161,1.0
S_15,S_163,1.0
S_15,S_170,1.0
S_15,S_171,1.0
S_15,S_174,1.0
S_15,S_182,1.0
S_15,S_183,1.0
S_15,S_197,1.0
S_15,S_199,1.0
S_15,S_211,1.0
S_15,S_218,1.0
S_15,S_228,1.0
S_15,S_238,1.0
S_15,S_279,1.0
S_15,S_280,1.0
S_15,S_419,1.0
S_15,S_482,1.0
S_15,S_520,1.0
S_15,S_525,1.0
S_15,S_529,1.0
S_15,S_642,1.0
S_15,S_690,1.0
S_15,S_708,1.0
S_16,S_1,1.0
S_16,S_13,1.0
S_16,S_15,1.0
S_16,S_20,1.0
S_16,S_33,1.0
S_16,S_43,1.0
S_16,S_60,1.0
S_16,S_73,1.0
S_16,S_74,1.0
S_16,S_79,1.0
S_16,S_81,1.0
S_16,S_85,1.0
S_16,S_94,1.0
S_16,S_98,1.0
S_16,S_100,1.0
S_16,S_106,1.0
S_16,S_117,1.0
S_16,S_125,1.0
S_16,S_126,1.0
S_16,S_127,1.0
S_16,S_137,1.0
S_16,S_152,1.0
S_16,S_163,1.0
S_16,S_170,1.0
S_16,S_182,1.0
S_16,S_197,1.0
S_16,S_199,1.0
S_16,S_211,1.0
S_16,S_230,1.0
S_16,S_238,1.0
S_16,S_244,1.0
S_16,S_279,1.0
S_16,S_482,1.0
S_16,S_520,1.0
S_16,S_525,1.0
S_16,S_529,1.0
S_16,S_642,1.0
S_16,S_690,1.0
S_16,S_696,1.0
S_16,S_702,1.0
S_17,S_2,1.0
S_17,S_4,1.0
S_17,S_5,1.0
S_17,S_7,1.0
S_17,S_12,1.0
S_17,S_24,1.0
S_17,S_25,1.0
S_17,S_27,1.0
S_17,S_28,1.0
S_17,S_31,1.0
S_17,S_32,1.0
S_17,S_37,1.0
S_17,S_39,1.0
S_17,S_40,1.0
S_17,S_42,1.0
S_17,S_45,1.0
S_17,S_50,1.0
S_17,S_59,1.0
S_17,S_62,1.0
S_17,S_71,1.0
S_17,S_83,1.0
S_17,S_91,1.0
S_17,S_92,1.0
S_17,S_108,1.0
S_17,S_112,1.0
S_17,S_116,1.0
S_17,S_119,1.0
S_17,S_122,1.0
S_17,S_130,1.0
S_17,S_131,1.0
S_17,S_144,1.0
S_17,S_174,1.0
S_17,S_175,1.0
S_17,S_191,1.0
S_17,S_202,1.0
S_17,S_214,1.0
S_17,S_240,1.0
S_17,S_256,1.0
S_17,S_260,1.0
S_17,S_264,1.0
S_17,S_515,1.0
S_17,S_524,1.0
S_17,S_526,1.0
S_17,S_528,1.0
S_17,S_699,1.0
S_17,S_716,1.0
S_18,S_2,1.0
S_18,S_4,1.0
S_18,S_15,1.0
S_18,S_27,1.0
S_18,S_28,1.0
S_18,S_32,1.0
S_18,S_43,1.0
S_18,S_45,1.0
S_18,S_48,1.0
S_18,S_59,1.0
S_18,S_64,1.0
S_18,S_70,1.0
S_18,S_71,1.0
S_18,S_72,1.0
S_18,S_73,1.0
S_18,S_79,1.0
S_18,S_86,1.0
S_18,S_87,1.0
S_18,S_116,1.0
S_18,S_123,1.0
S_18,S_126,1.0
S_18,S_130,1.0
S_18,S_144,1.0
S_18,S_161,1.0
S_18,S_163,1.0
S_18,S_170,1.0
S_18,S_171,1.0
S_18,S_174,1.0
S_18,S_175,1.0
S_18,S_182,1.0
S_18,S_183,1.0
S_18,S_191,1.0
S_18,S_197,1.0
S_18,S_199,1.0
S_18,S_211,1.0
S_18,S_218,1.0
S_18,S_224,1.0
S_18,S_228,1.0
S_18,S_238,1.0
S_18,S_240,1.0
S_18,S_267,1.0
S_18,S_280,1.0
S_18,S_300,1.0
S_18,S_320,1.0
S_18,S_419,1.0
S_18,S_515,1.0
S_18,S_526,1.0
S_18,S_642,1.0
S_18,S_699,1.0
S_19,S_121,1.0
S_19,S_139,1.0
S_19,S_140,1.0
S_19,S_145,1.0
S_19,S_147,1.0
S_19,S_154,1.0
S_19,S_155,1.0
S_19,S_186,1.0
S_19,S_217,1.0
S_19,S_229,1.0
S_19,S_242,1.0
S_19,S_268,1.0
S_19,S_277,1.0
S_19,S_285,1.0
S_19,S_311,1.0
S_19,S_318,1.0
S_19,S_324,1.0
S_19,S_325,1.0
S_19,S_332,1.0
S_19,S_513,1.0
S_19,S_516,1.0
S_19,S_581,1.0
S_19,S_592,1.0
S_19,S_607,1.0
S_19,S_614,1.0
S_19,S_626,1.0
S_19,S_683,1.0
S_20,S_1,1.0
S_20,S_13,1.0
S_20,S_14,1.0
S_20,S_15,1.0
S_20,S_16,1.0
S_20,S_33,1.0
S_20,S_38,1.0
S_20,S_60,1.0
S_20,S_73,1.0
S_20,S_74,1.0
S_20,S_78,1.0
S_20,S_81,1.0
S_20,S_85,1.0
S_20,S_94,1.0
S_20,S_98,1.0
S_20,S_100,1.0
S_20,S_117,1.0
S_20,S_125,1.0
S_20,S_127,1.0
S_20,S_137,1.0
S_20,S_138,1.0
S_20,S_152,1.0
S_20,S_163,1.0
S_20,S_167,1.0
S_20,S_182,1.0
S_20,S_188,1.0
S_20,S_199,1.0
S_20,S_211,1.0
S_20,S_230,1.0
S_20,S_244,1.0
S_20,S_249,1.0
S_20,S_275,1.0
S_20,S_276,1.0
S_20,S_482,1.0
S_20,S_503,1.0
S_20,S_520,1.0
S_20,S_525,1.0
S_20,S_529,1.0
S_20,S_690,1.0
S_20,S_696,1.0
S_20,S_702,1.0
S_21,S_58,1.0
S_21,S_76,1.0
S_21,S_107,1.0
S_21,S_115,1.0
S_21,S_120,1.0
S_21,S_124,1.0
S_21,S_149,1.0
S_21,S_150,1.0
S_21,S_160,1.0
S_21,S_184,1.0
S_21,S_192,1.0
S_21,S_219,1.0
S_21,S_233,1.0
S_21,S_331,1.0
S_21,S_418,1.0
S_21,S_452,1.0
S_21,S_466,1.0
S_21,S_468,1.0
S_21,S_473,1.0
S_21,S_495,1.0
S_21,S_657,1.0
S_22,S_0,1.0
S_22,S_38,1.0
S_22,S_51,1.0
S_22,S_52,1.0
S_22,S_54,1.0
S_22,S_60,1.0
S_22,S_78,1.0
S_22,S_98,1.0
S_22,S_99,1.0
S_22,S_103,1.0
S_22,S_104,1.0
S_22,S_136,1.0
S_22,S_141,1.0
S_22,S_151,1.0
S_22,S_169,1.0
S_22,S_181,1.0
S_22,S_185,1.0
S_22,S_188,1.0
S_22,S_198,1.0
S_22,S_220,1.0
S_22,S_230,1.0
S_22,S_244,1.0
S_22,S_246,1.0
S_22,S_248,1.0
S_22,S_250,1.0
S_22,S_255,1.0
S_22,S_259,1.0
S_22,S_261,1.0
S_22,S_265,1.0
S_22,S_272,1.0
S_22,S_274,1.0
S_22,S_275,1.0
S_22,S_304,1.0
S_22,S_327,1.0
S_22,S_496,1.0
S_22,S_499,1.0
S_22,S_500,1.0
S_22,S_664,1.0
S_22,S_698,1.0
S_22,S_700,1.0
S_22,S_702,1.0
S_22,S_705,1.0
S_23,S_3,1.0
S_23,S_11,1.0
S_23,S_24,1.0
S_23,S_40,1.0
S_23,S_42,1.0
S_23,S_45,1.0
S_23,S_62,1.0
S_23,S_64,1.0
S_23,S_68,1.0
S_23,S_71,1.0
S_23,S_80,1.0
S_23,S_83,1.0
S_23,S_90,1.0
S_23,S_92,1.0
S_23,S_93,1.0
S_23,S_102,1.0
S_23,S_105,1.0
S_23,S_111,1.0
S_23,S_118,1.0
S_23,S_119,1.0
S_23,S_130,1.0
S_23,S_133,1.0
S_23,S_146,1.0
S_23,S_148,1.0
S_23,S_165,1.0
S_23,S_172,1.0
S_23,S_176,1.0
S_23,S_187,1.0
S_23,S_193,1.0
S_23,S_200,1.0
S_23,S_222,1.0
S_23,S_225,1.0
S_23,S_256,1.0
S_23,S_264,1.0
S_23,S_282,1.0
S_23,S_306,1.0
S_23,S_328,1.0
S_23,S_524,1.0
S_23,S_526,1.0
S_23,S_528,1.0
S_23,S_620,1.0
S_23,S_675,1.0
S_23,S_709,1.0
S_23,S_715,1.0
S_24,S_2,1.0
S_24,S_3,1.0
S_24,S_7,1.0
S_24,S_11,1.0
S_24,S_17,1.0
S_24,S_23,1.0
S_24,S_31,1.0
S_24,S_40,1.0
S_24,S_42,1.0
S_24,S_50,1.0
S_24,S_53,1.0
S_24,S_57,1.0
S_24,S_62,1.0
S_24,S_71,1.0
S_24,S_83,1.0
S_24,S_92,1.0
S_24,S_97,1.0
S_24,S_101,1.0
S_24,S_105,1.0
S_24,S_108,1.0
S_24,S_119,1.0
S_24,S_122,1.0
S_24,S_146,1.0
S_24,S_148,1.0
S_24,S_165,1.0
S_24,S_166,1.0
S_24,S_172,1.0
S_24,S_176,1.0
S_24,S_202,1.0
S_24,S_207,1.0
S_24,S_214,1.0
S_24,S_221,1.0
S_24,S_222,1.0
S_24,S_231,1.0
S_24,S_256,1.0
S_24,S_264,1.0
S_24,S_269,1.0
S_24,S_281,1.0
S_24,S_282,1.0
S_24,S_306,1.0
S_24,S_524,1.0
S_24,S_526,1.0
S_24,S_528,1.0
S_24,S_620,1.0
S_24,S_675,1.0
S_25,S_5,1.0
S_25,S_12,1.0
S_25,S_17,1.0
S_25,S_37,1.0
S_25,S_39,1.0
S_25,S_47,1.0
S_25,S_50,1.0
S_25,S_91,1.0
S_25,S_112,1.0
S_25,S_116,1.0
S_25,S_122,1.0
S_25,S_131,1.0
S_25,S_132,1.0
S_25,S_213,1.0
S_25,S_260,1.0
S_25,S_296,1.0
S_25,S_307,1.0
S_25,S_716,1.0
S_26,S_8,1.0
S_26,S_46,1.0
S_26,S_51,1.0
S_26,S_58,1.0
S_26,S_76,1.0
S_26,S_107,1.0
S_26,S_115,1.0
S_26,S_120,1.0
S_26,S_135,1.0
S_26,S_157,1.0
S_26,S_160,1.0
S_26,S_192,1.0
S_26,S_219,1.0
S_26,S_233,1.0
S_26,S_237,1.0
S_26,S_245,1.0
S_26,S_246,1.0
S_26,S_248,1.0
S_26,S_255,1.0
S_26,S_259,1.0
S_26,S_261,1.0
S_26,S_265,1.0
S_26,S_274,1.0
S_26,S_294,1.0
S_26,S_308,1.0
S_26,S_408,1.0
S_26,S_472,1.0
S_26,S_485,1.0
S_26,S_496,1.0
S_26,S_497,1.0
S_26,S_527,1.0
S_26,S_650,1.0
S_26,S_685,1.0
S_26,S_698,1.0
S_26,S_701,1.0
S_26,S_703,1.0
S_26,S_705,1.0
S_27,S_2,1.0
S_27,S_4,1.0
S_27,S_5,1.0
S_27,S_7,1.0
S_27,S_12,1.0
S_27,S_17,1.0
S_27,S_18,1.0
S_27,S_28,1.0
S_27,S_31,1.0
S_27,S_32,1.0
S_27,S_37,1.0
S_27,S_42,1.0
S_27,S_45,1.0
S_27,S_50,1.0
S_27,S_59,1.0
S_27,S_62,1.0
S_27,S_64,1.0
S_27,S_69,1.0
S_27,S_71,1.0
S_27,S_83,1.0
S_27,S_91,1.0
S_27,S_92,1.0
S_27,S_112,1.0
S_27,S_116,1.0
S_27,S_119,1.0
S_27,S_122,1.0
S_27,S_123,1.0
S_27,S_130,1.0
S_27,S_131,1.0
S_27,S_144,1.0
S_27,S_170,1.0
S_27,S_174,1.0
S_27,S_175,1.0
S_27,S_191,1.0
S_27,S_202,1.0
S_27,S_224,1.0
S_27,S_228,1.0
S_27,S_240,1.0
S_27,S_264,1.0
S_27,S_320,1.0
S_27,S_515,1.0
S_27,S_524,1.0
S_27,S_526,1.0
S_27,S_528,1.0
S_27,S_699,1.0
S_27,S_716,1.0
S_28,S_2,1.0
S_28,S_4,1.0
S_28,S_12,1.0
S_28,S_17,1.0
S_28,S_18,1.0
S_28,S_27,1.0
S_28,S_31,1.0
S_28,S_32,1.0
S_28,S_37,1.0
S_28,S_43,1.0
S_28,S_45,1.0
S_28,S_56,1.0
S_28,S_59,1.0
S_28,S_62,1.0
S_28,S_64,1.0
S_28,S_69,1.0
S_28,S_71,1.0
S_28,S_92,1.0
S_28,S_112,1.0
S_28,S_116,1.0
S_28,S_122,1.0
S_28,S_123,1.0
S_28,S_130,1.0
S_28,S_131,1.0
S_28,S_144,1.0
S_28,S_170,1.0
S_28,S_174,1.0
S_28,S_175,1.0
S_28,S_183,1.0
S_28,S_191,1.0
S_28,S_197,1.0
S_28,S_199,1.0
S_28,S_202,1.0
S_28,S_218,1.0
S_28,S_224,1.0
S_28,S_228,1.0
S_28,S_240,1.0
S_28,S_264,1.0
S_28,S_320,1.0
S_28,S_330,1.0
S_28,S_515,1.0
S_28,S_524,1.0
S_28,S_526,1.0
S_28,S_699,1.0
S_29,S_6,1.0
S_29,S_9,1.0
S_29,S_36,1.0
S_29,S_65,1.0
S_29,S_68,1.0
S_29,S_77,1.0
S_29,S_80,1.0
S_29,S_82,1.0
S_29,S_95,1.0
S_29,S_109,1.0
S_29,S_111,1.0
S_29,S_128,1.0
S_29,S_143,1.0
S_29,S_158,1.0
S_29,S_159,1.0
S_29,S_168,1.0
S_29,S_189,1.0
S_29,S_190,1.0
S_29,S_195,1.0
S_29,S_203,1.0
S_29,S_210,1.0
S_29,S_215,1.0
S_29,S_234,1.0
S_29,S_241,1.0
S_29,S_254,1.0
S_29,S_258,1.0
S_29,S_278,1.0
S_29,S_283,1.0
S_29,S_291,1.0
S_29,S_292,1.0
S_29,S_302,1.0
S_29,S_704,1.0
S_30,S_1,1.0
S_30,S_15,1.0
S_30,S_43,1.0
S_30,S_48,1.0
S_30,S_72,1.0
S_30,S_73,1.0
S_30,S_79,1.0
S_30,S_86,1.0
S_30,S_94,1.0
S_30,S_106,1.0
S_30,S_117,1.0
S_30,S_126,1.0
S_30,S_161,1.0
S_30,S_171,1.0
S_30,S_182,1.0
S_30,S_183,1.0
S_30,S_218,1.0
S_30,S_238,1.0
S_30,S_267,1.0
S_30,S_279,1.0
S_30,S_280,1.0
S_30,S_419,1.0
S_30,S_642,1.0
